CustomerID,Customer_bounced_first_EMI,No_times_bounced_12_months,No_times_bounced_while_repaying_loan,EMI,Loan_Amount,Tenure,No_advance_EMI_paid,Interest_rate,Customer_age_when_taken_loan,No_loans,No_unsecured_loans,Maximum_amount_sanctioned_for_any_Two_wheeler_loan,No_times_30_days_past_due_in_last_6_months,Target,Product_code_Two_wheeler_MO,Product_code_Two_wheeler_SC,Product_code_Two_wheeler_TL,Gender_MALE,Employment_type_PENS,Employment_type_SELF,Employment_type_STUDENT,Resident_type_customer_RENT
66470,0,0,0.0,2690.0,51427.0,24.0,0.0,12.75,28.0,6,5,51427.0,0,0,0,1,0,1,0,0,0,1
84206,0,0,0.0,2314.0,57850.0,30.0,2.0,8.0,35.0,4,0,57850.0,0,0,0,1,0,1,0,0,0,0
8318,0,0,0.0,1911.0,28655.0,15.0,0.0,0.0,28.0,1,0,28655.0,0,0,1,0,0,1,0,1,0,0
41311,0,0,0.0,2518.0,49900.0,24.0,0.0,10.55,46.0,8,6,49900.0,0,0,0,1,0,0,0,1,0,0
102951,0,2,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,1,0,34000.0,0,0,0,0,0,1,0,1,0,0
44747,0,2,2.0,1658.0,30900.0,24.0,0.0,14.35,35.0,1,0,30900.0,0,0,1,0,0,1,0,1,0,0
981,0,0,1.0,1890.0,49471.0,36.0,1.0,12.5,37.0,2,0,49471.0,0,0,0,1,0,0,0,1,0,0
116533,0,0,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,1,0,52480.0,0,0,0,0,0,1,0,1,0,0
119433,1,0,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,0,0,41840.274522569445,0,0,0,0,0,1,0,1,0,0
40706,0,0,0.0,2782.0,53400.0,24.0,0.0,12.5,25.0,6,0,53400.0,4,0,0,0,0,1,0,1,0,0
102309,0,1,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,1,0,46500.0,0,0,0,0,0,1,0,1,0,0
106762,0,0,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,1,0,51900.0,0,0,0,0,0,1,0,1,0,0
4373,0,1,1.0,1607.0,23350.0,18.0,0.0,15.9,46.0,3,1,23350.0,0,0,1,0,0,1,0,1,0,0
118216,0,0,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,2,0,47000.0,0,0,0,0,0,1,0,1,0,0
117052,0,3,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,1,0,51424.0,0,0,0,0,0,1,0,1,0,0
114191,0,1,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,0,0,41840.274522569445,0,0,0,0,0,1,0,1,0,0
15045,0,1,2.0,1620.0,29000.0,24.0,0.0,17.0,35.0,1,0,29000.0,0,0,1,0,0,1,0,1,0,0
76239,0,0,0.0,2860.0,40000.0,15.0,3.0,5.8,39.0,1,0,40000.0,0,0,0,1,0,1,0,0,0,0
52613,0,1,1.0,2589.0,40000.0,19.0,1.0,14.5,52.0,21,2,40000.0,1,0,0,1,0,0,0,1,0,0
29329,0,0,0.0,2475.0,50440.0,24.0,1.0,8.88,38.0,23,0,50440.0,1,0,0,1,0,1,0,0,0,0
97719,0,0,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,2,0,33593.0,0,0,0,0,0,1,0,1,0,0
48527,0,1,1.0,2501.0,37900.0,18.0,0.0,12.5,31.0,2,1,37900.0,1,0,0,1,0,1,0,1,0,0
4038,0,2,2.0,2266.0,44000.0,24.0,1.0,11.8,55.0,6,0,44000.0,6,0,0,0,0,1,0,1,0,0
23707,0,0,1.0,2035.0,37565.0,24.0,0.0,15.0,44.0,1,0,37565.0,0,0,0,0,0,0,0,0,0,0
99650,0,1,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,1,0,24881.0,0,0,0,0,0,1,0,1,0,0
73746,0,0,0.0,1871.0,28900.0,18.0,1.0,11.0,38.0,2,0,28900.0,0,0,1,0,0,1,0,1,0,0
40802,0,0,0.0,1938.0,32000.0,21.0,1.0,15.5,55.0,0,0,41840.274522569445,0,0,1,0,0,1,0,1,0,0
31624,0,1,1.0,1735.0,27500.0,18.0,2.0,9.0,24.0,0,0,41840.274522569445,0,0,1,0,0,1,0,0,0,1
63878,0,0,0.0,2925.0,43450.0,18.0,0.0,14.09,44.0,0,0,41840.274522569445,0,0,0,0,1,1,0,1,0,1
54441,0,1,1.0,1707.0,32000.0,24.0,0.0,14.0,46.0,2,1,32000.0,0,0,0,0,0,1,0,0,0,0
46720,0,0,0.0,2241.0,34700.0,18.0,1.0,10.8,42.0,9,2,45000.0,0,0,0,1,0,0,0,0,0,0
105226,0,1,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,2,0,50000.0,5,0,0,0,0,1,0,1,0,0
95846,0,3,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,6,0,29900.0,0,0,0,0,0,1,0,1,0,0
39300,0,1,1.0,2368.0,45100.0,24.0,0.0,13.0,40.0,1,0,45100.0,0,0,0,1,0,0,0,1,0,0
56385,0,0,0.0,2342.0,43900.0,24.0,0.0,14.0,28.0,2,0,43900.0,0,0,0,0,0,1,0,0,0,0
4563,0,1,4.0,1547.0,27500.0,24.0,0.0,17.5,30.0,2,0,27500.0,0,0,1,0,0,1,0,1,0,0
85533,0,0,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,2,0,23400.0,0,0,0,0,0,1,0,1,0,0
17102,0,1,1.0,1864.0,28793.0,18.0,3.0,11.0,30.0,17,0,38822.0,3,0,1,0,0,1,0,1,0,0
33154,0,0,0.0,2971.0,53331.0,24.0,1.0,16.85,31.0,9,6,53331.0,0,0,0,0,0,1,0,0,0,0
119194,0,0,0.9532558767900567,2313.2437179140775,39765.52175087814,21.42610105376925,0.6382058902999189,11.821534720345761,35.79951364496082,3,2,24000.0,0,0,0,0,0,1,0,1,0,0
16061,0,0,0.0,1161.0,21500.0,24.0,0.0,14.75,31.0,2,0,21500.0,0,0,1,0,0,1,0,1,0,0
